飞周兄弟 | 不认亲、袭击 | non-hate | non-hate [END]
bbc | 有攒劲的节目（影射不实报道等负面行为） | others | hate [END] 
黑人们 | 开发可以使黑人的古龙水发臭的东西在黑人聚集地发散开，让黑人们一个都混不下去 | Racism | hate [SEP] 中国女人们 | 给中国女人们使用或佩戴（能使黑人古龙水发臭的东西） | Racism | hate [END]
贵州 | 不是我们穷就是说素质差 | Region | hate [END]
恐同的人 | 皆深柜实锤 | LGBTQ | hate [END]
基佬 | 没事找事的必须打，说白了就是一堆屎，没几个好东西，都是些心里变态的货 | LGBTQ | hate [END]
txl | 再不管管，气候变暖又要加重了 | LGBTQ | hate [END]
我 | 不是男人 | non-hate | non-hate [END]
NULL | 管不了他们 | others | hate [END]
早高峰的上班族 | 上班狗 | non-hate | non-hate [END]
鬼母跟几个 | 还在苟延残喘 | non-hate | non-hate [END]
NULL | 没事 | non-hate | non-hate [END]
NULL | 井底之蛙 | non-hate | non-hate [END]
中国 | 太强太强啦 | non-hate | non-hate [END]
“同同”群体 | 被形容为小人，要团结反其力量 | LGBTQ | hate [END]
以偏概全看待河南人的人 | 以偏概全地看待河南人 | Region | hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ | hate [END]
NULL | 祝你生活如意 | non-hate | non-hate [END]
NULL | 报团去微博冲 | non-hate | non-hate [END]
上海 | 被排外严重严重 | Region | hate [END]
黑人 | 绝对不要跟其在一起过 | Racism | hate [END]
南方 | 经济制裁 | Region | hate [END]
舔狗 | 赶紧去死吧 | others | hate [END]
江北 | 只准讲别人，别人说你们就成地域黑 | Region | hate [END]
韩国人 | 娘炮 | Region | hate [END]
腐女 | 乱磕 cp，超级不理解 | LGBTQ | hate [SEP] 男同 | 泛滥，厌恶 | LGBTQ | hate [SEP] 传播同性恋的人 | 烦 | LGBTQ | hate [END]
女拳主义者 | 反对女拳主义 | Sexism | non-hate [END]
美国黑人马丁路德金 | 非常有文化，获得大学文学与神学学士学位证，非常厉害 | non-hate | non-hate [END]
甘肃人 | 没有存在感 | non-hate | non-hate [END]
齐齐哈尔人 | 无仇恨相关论点 | non-hate | non-hate [END]
这个 | 垃圾，天天刷屏 | non-hate | non-hate [END]
黑人 | 寿命黑人第一（带有歧视性的表述） | Racism | hate [END]
非洲民族 | 华夏民族和非洲民族智商相差1000代人的进化，可能进化成不同物种像人和猪 | Racism | hate [END]
河南相关的人、东北相关的人 | 被黑的很大原因是口音 | Region | hate [END]
黑人 | 使用侮辱性称呼并暗示特定不良特征 | Racism | hate [END]
国际母狗 | 总是那么迷之自信 | Sexism | hate [END]
现在结婚的人 | 太多了 | non-hate | non-hate [END]
NULL | 太不公平了 | non-hate | non-hate [END]
它们 | 只会骂中国男性，🐑跌跪舔还来不及呢 | Sexism | hate [END]
不吃狗肉还骂别人吃的人 | 有问题 | others | hate [SEP] 虐待猫狗忽悠人赚钱的人 | 有问题 | others | hate [END]
在聊天 App 上聊的那个女的 | 骂了一顿、拉黑、看见照片恶心加反胃 | Racism | hate [END]
NULL | 直接击毙就好了 | non-hate | non-hate [END]
四元组为：这种货色 | 不拉到没人的地方一顿输出 | others | hate [END]
上海 | 歧视北京 | Region | hate [SEP] 北京 | 被上海歧视 | Region | hate [END]
默 | 滚出中国 | Region | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
女权 | 钻空子、让人笑话 | Sexism | hate [END]
这个群体 | 不应该被抹黑，应得到基本尊重 | non-hate | non-hate [END]
广西人 | 脸圆鼻子塌 | non-hate | non-hate [END]
东南亚和朝鲜的女性 | 被当作商品买卖（买媳妇） | Region | hate [END]
NULL | 无明确攻击性内容 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ | hate [END]
黑皮 | 极其厌恶，与其为伍就是自甘堕落 | Racism | hate [END]
找黑的 | 比失足女差远了，染病几率比失足女高 | Racism | hate [SEP] 黑人 | 在大学约妹子从没有措施 | Racism | hate [END]
国女 | 被这种所谓戒指骗 | Sexism | hate [END]
白人 | 欺负黑人，应该发声 | non-hate | non-hate [SEP] 黑人 | 欺负黄种人，大家沉默 | non-hate | non-hate [SEP] 黄种人 | 被黑人欺负，大家沉默 | non-hate | non-hate [END]
这个要求 | 真不过分 | non-hate | non-hate [END]
一个加在空间的人 | 打钕拳 | Sexism | hate [END]
你们 | 活该 | others | hate [END]
上海 | 全国黑上海 | Region | hate [SEP] 白完（安徽人） | 上海黑白完，被黑的最惨的还是白完 | Region | hate [END]
洋人 | 真高贵，放个屁都是对的 | Racism | hate [END]
东北人 | 喜欢，热情、爽快、好客 | non-hate | non-hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜都只是黑龙江的 | Region | hate [END]
黑人 | 唱 Rap 比国内的 rapper 们正宗些，但这种音乐形式偏小众，不存在什么特殊的享受 | non-hate | non-hate [SEP] 国内的 rapper 们 | 唱 Rap 没有黑人正宗，这种音乐形式偏小众，不存在什么特殊的享受 | non-hate | non-hate [END]
广东人 | 最爱地域黑，用侮辱性表述（广东🐵、该吃🍌了）形容 | Region | hate [END]
黑种人 | 和黑种人结婚会使后代及地球变黑等 | Racism | hate [END]
他 | 在黑我们 | non-hate | non-hate [END]
黑哥 | 说话者对黑哥的负面看法 | Racism | hate [END]
黑人、白人 | 体味确实不是一般人受得了的 | Racism | hate [SEP] 国女 | 狐臭对你们来说不是啥问题，毕竟是洋大人 | Sexism | hate [END]
女性 | 没见到过和黑人在一起的 | Sexism | hate [SEP] 黑人 | 中国人的审美很难认为黑人帅 | Racism | hate [SEP] 中国人 | 审美很难认为黑人帅 | Racism | hate [END]
这男的 | 在家表现，一直很差吧 | non-hate | non-hate [END]
我（上海人） | 连评论的勇气都没有，好卑微 | non-hate | non-hate [END]
微博、豆瓣、小红书上的女性 | 对女性在微博、豆瓣、小红书上占据主导地位表示不满 | Sexism | hate [END]
田园女权 | 崛起后导致男女对立 | Sexism | hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
粿籹 | 活剐可以剐几刀呀 | Sexism | hate [END]
综合以上分析，仇恨言论四元组为：安徽人、黑安徽人的上海人 | 上海人黑安徽很厉害，上海吧有很多黑安徽帖子，江浙沪有些企业不招安徽员工 | Region | hate [END]
法国 | 是前车之鉴 | non-hate | non-hate [END]
血缘和宗族关系 | 很多都是能力不够关系来凑 | others | hate [SEP] 亲戚 | 越烦 | others | hate [END]
LKD | 又一个 | non-hate | non-hate [END]
你姐妹 | 支持 | non-hate | non-hate [END]
男吧里的部分人 | 渣滓 | others | hate [END]
洋垃圾 | 确实该喷 | Racism | hate [SEP] eg | 确实该喷 | Sexism | hate [END]
国女 | 能接受与白人、非洲、印度、巴基斯坦人交往（带有贬义） | Sexism | hate [END]
同性恋 | 同性恋也是可以和异性结婚，只要他们愿意，能不能改变取决于他们的意愿，跟基因没有关系 | LGBTQ | hate [END]
你妈 | 是买的吧 | others | hate [END]
大伙 | 集合 | non-hate | non-hate [END]
陕西 | 印象急速滑坡 | Region | hate [END]
崇洋媚外的（人） | 不用管这些人，走了最好 | others | hate [END]
你 | 询问想表达什么 | non-hate | non-hate [END]
黑 | 就是垃圾 | Racism | hate [END]
他 | 对其是否有错存疑 | non-hate | non-hate [END]
东北 | 最大的不幸就是被满清文化绑定了 | Region | hate [END]
之前有人 | 信誓旦旦讲要娶国外妹子，配不上国女 | non-hate | non-hate [END]
想胡搅蛮缠玩文字游戏的人 | 胡搅蛮缠玩文字游戏 | non-hate | non-hate [END]
库里 | 真不错，洁身自好，只爱他老婆一人 | non-hate | non-hate [END]
黑龙江人 | 天天东北东北，都忘了自己叫黑龙江了，拉着辽吉一起背锅 | Region | hate [END]
山东某市的人 | 印象特别差，可以说非常差 | Region | hate [END]
同，双，跨种群体的人 | 用来混乱世界的，是一堆歪理 | LGBTQ | hate [END]
他 | 说的是事实 | non-hate | non-hate [END]
你 | 怕将来妻子告强奸罪 | non-hate | non-hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
离婚的男性 | 罪大恶极 | Sexism | hate [SEP] 离婚的女性 | 无辜 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | non-hate | non-hate [END]
你 | 别被抛弃了又找国人接盘，嫁给洋人也别留在中国，徒增笑料 | others | hate [END]
澳门 | 有性感荷官就不黑了 | Region | hate [END]
拿学历说事的（人） | 拿学历说事并喷人 | others | hate [END]
他 | 跑到反同群里面开盒 | LGBTQ | hate [END]
他 | 真的要我放一张东亚小女孩和白人小女孩的照片打他脸 | non-hate | non-hate [END]
世界女权 | 故意抹黑中国女性 | Sexism | hate [END]
黑豹 | 拍的真一般，居然还拿奥斯卡了，政治正确绑架 | non-hate | non-hate [END]
天津 | 按城市算最惨，地域黑比河南东北的城市还严重 | non-hate | non-hate [END]
组织 | 用其他国家的黄种外国人的合照来骗国人 | others | hate [END]
综合以上分析，仇恨言论四元组为：北方 | 歧视南方几千年 | Region | hate [SEP] 南方 | 被北方歧视几千年 | Region | hate [SEP] 黑奴 | 园主不把黑奴当人 | Racism | hate [END]
河南 | 太惨了 | non-hate | non-hate [SEP] 河南同学 | 被黑的不敢说自己是河南的 | non-hate | non-hate [END]
潮汕火锅、潮汕彩礼 | 天下第一 | non-hate | non-hate [END]
NULL | 搞歧视、心理阴暗诋毁别人、心里有偏见 | others | hate [END]
他 | 突然又跟你扯起对不起父母之类的，就很令人抓狂 | non-hate | non-hate [SEP] 基佬 | 都是没素质，没教养的人 | LGBTQ | hate [END]
皖北 | 什么都是皖北的锅 | Region | hate [END]
网警 | 报告了 | non-hate | non-hate [END]
这个货货 | 给私信关了 | non-hate | non-hate [END]
“他们” | “非说江西彩礼高，让江西莫名躺枪” | Region | hate [END]
荣誉女人 | 坏起来了 | Sexism | hate [END]
东北 | 被黑是最惨的，而且很持久 | non-hate | non-hate [END]
傻卵 | 是反串的理客中阴阳人 | non-hate | non-hate [END]
你 | 不配用洋大人用过的东西 | Racism | hate [END]
3楼基佬 | 暗示3楼基佬因性取向有更高艾滋病传染概率 | LGBTQ | hate [END]
NULL | 下贱的杂种 | others | hate [END]
找欧美男友的人 | 找欧美男友就肯定有游艇，车房这种小case自然也不在话下 | others | hate [END]
   NULL | 当你在明处看到了一只蟑螂，说明阴处已经不下了 | non-hate | non-hate [END]
一个根本没去过河南的人 | 对河南有很大怨念 | Region | hate [END]
答主这样的男同 | 男同里三观不正，素质极差的人占大多数 | LGBTQ | hate [END]
NULL | 方面方面也是比不了的 | non-hate | non-hate [END]
媚外ez | 表达出不认可、贬低的态度 | others | hate [END]
NULL | 终于能说话了 | non-hate | non-hate [END]
河南分数线 | 存在 | non-hate | non-hate [END]
东北人 | 被河南人睡不亏 | Region | hate [SEP] 河南人 | 相关隐含在‘东北人被河南人睡不亏’表述中 | Region | hate [END]
NULL | 完全无感 | non-hate | non-hate [END]
NULL | 全球所有世纪传染病传播源头都来自它们 | others | hate [END]
苏北人 | 对苏北人在上海的情况持排斥态度 | Region | hate [END]
男的 | 男的还手后果不堪设想 | Sexism | hate [END]
饭桶 | 皆深柜，不敢直面自己的内心 | LGBTQ | hate [END]
钻戒 | 钻石在条件下会灰飞烟灭，这个条件容易达成，不吉利 | non-hate | non-hate [END]
女方 | 想隐瞒且很难被知道 | non-hate | non-hate [END]
NULL | 女狗 | Sexism | hate [END]
txl | txl滥交、大量传播艾滋病，群体中有抹黑群体的“坏人”导致风评变差 | LGBTQ | hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
他们 | 真恶心，想掰弯人、满嘴性暗示、骚扰人 | LGBTQ | hate [END]
黑色的玩伴 | 无负面论点 | non-hate | non-hate [END]
说出“黑安徽江西”言论的群体 | 黑安徽江西最严重 | Region | hate [END]
女拳 | 支持女拳成了全女社区 | non-hate | non-hate [END]
她们 | 培养成大纱布 | others | hate [SEP] 愿意娶的（人） | 用弱来指代并轻视 | others | hate [END]
嘿人（推测指黑人） | 表述存在不当关联倾向 | Racism | hate [END]
圆圈吧 | 出了名的鸡窝，里面都是卖的还有陪玩的，好多在里明卖 | others | hate [END]
交了黑人的成都人 | 嘴碎 | Racism | hate [END]
你 | 暗示同性恋可能在工作单位面临问题 | LGBTQ | hate [END]
福建 | 做的恶绝不比上述被黑的地方少 | Region | hate [END]
广大男同胞 | 多搜集一下男性遭到家暴的例子，然后大规模宣传，深入人心 | non-hate | non-hate [END]
民族主义 | 不能把民族主义当做神圣不可侵犯的东西 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 结婚率血崩，离婚率飞天 | non-hate | non-hate [END]
外地人 | 存在被无端针对、被区别对待的暗示（从文本语气推测） | non-hate | non-hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者，离谱 | Sexism | hate [END]
你 | 不听道理，家族亲戚教育不会出现这种人，想暴打你一顿 | non-hate | non-hate [END]
百度上的女拳群体 | 特别多 | Sexism | hate [END]
gay | 即使看上直男也是想上 | LGBTQ | hate [END]
你 | 好人就给你了，祝你早生贵子 | non-hate | non-hate [END]
认为埃及文明是黑人创造的观点 | 怎么查都没查到埃及文明是黑人创造的，有黑人基本是奴隶，附图不像黑人，闪米特人更像黄种人 | Racism | hate [END]
你跪虫族 | 会说南非曾经不是发达国家 | others | hate [END]
广东 | 不熟不熟，都不知道黑啥 | Region | hate [END]
女拳男 | 能不能414阿 | Sexism | hate [END]
理中客 | 是女拳和舔狗扮的 | others | hate [END]
你 | 认为不是黑人的背叛而是我们的背叛 | non-hate | non-hate [END]
这人 | 可能这辈子没出过抚顺 | non-hate | non-hate [END]
新疆的回族群体 | 被黑惨了，部分有错却上升到整个地域 | Region | hate [END]
黑人 | 只会引发黑命贵运动，引起激烈的种族冲突 | Racism | hate [SEP] 犹太人 | 要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | Racism | hate [END]
60 - 80年代的人 | 社会主力，有家室，怕连累家人 | non-hate | non-hate [SEP] 90、00这代人 | 结婚率低，过几年排黑会蔓延到生活中 | non-hate | non-hate [END]
基佬 | 怪物，不敢说关于孩子的想法，老年没孩子可能有繁殖恋，会后悔不做正常人 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | hate [END]
NULL | 有图有真相，国外的现状我们的未来 | non-hate | non-hate [END]
知乎里关于地域的回答 | 不能看，乌烟瘴气 | non-hate | non-hate [END]
这种脑瘫文学 | 脑瘫文学，强行大前提男女能力一致，强行空降强权逻辑 | others | hate [END]
已婚女性 | 没有多少个能够明面上拒绝丈夫的性需求，否则会遭来男方家里的各样指责 | Sexism | non-hate [SEP] 男方家里 | 会对拒绝丈夫性需求的已婚女性进行各样指责，有夫妻生活不和谐就是因为妻子不配合等说辞 | Sexism | non-hate [END]
NULL | 不符合东方审美观 | non-hate | non-hate [END]
女权们 | 反抗能反抗的，占领能占领的，抛弃一切想抛弃的 | Sexism | hate [END]
这种男人 | 令人讨厌，把自己看得很高，骄傲自负，自信过头，行为不好 | Sexism | hate [END]
韩国人 | 偷东西 | Region | hate [END]
外国人 | 挑衅、威胁 | Racism | hate [END]
这种人 | 想当默的配种母狗、活该 | others | hate [END]
NULL | 有被害妄想症，巴不得美国从地球上消失 | others | hate [END]
便宜鸡 | 跟你做完就开始叨叨叨她那些前男友的破事了，跟个怨妇似得，烦死了 | Sexism | hate [END]
东北人 | 流出以年轻白领为主，可能去干这种活的少 | non-hate | non-hate [END]
看新闻的人 | 数量少了 | non-hate | non-hate [END]
新上海人 | 按常住算应算进去 | non-hate | non-hate [END]
女性 | 结婚前索要高额彩礼、结婚后拒绝发生关系等负面行为 | Sexism | hate [END]
楠拳 | 不遵守宿舍规定 | Sexism | hate [END]
国楠 | 真的惨 | Sexism | hate [END]
这 | 看面相就不是个好人（用母猪形容） | Sexism | hate [END]
找了老黑还来嘚瑟的女孩子 | 找了之后还要来得瑟一把，应该跟着老黑回非洲大陆 | Racism | hate [SEP] 老黑 | 不希望女孩子和其在一起 | Racism | hate [END]
河南人 | 说得河南人偷井盖才是无关紧要的，都带调侃的味道 | Region | hate [SEP] 广东群体 | 广东是在文化种族等方面被黑 | Region | hate [END]
这些人 | 恋爱观就离谱 | others | hate [END]
找巧克力豆当对象的人 | 男的绝交，女的有多远离多远 | Racism | hate [END]
最后输出的仇恨言论四元组为：她们 | 自作自受，回来让老实人买单 | Sexism | hate [END]
女权 | 围攻孙吧 | Sexism | hate [END]
浙江人 | 非常害怕 | Region | hate [END]
喜欢同性恋且说同性恋才是真爱，异性恋不是真爱，只为了繁殖的人 | 言论耻视异性恋 | LGBTQ | hate [SEP] 同性恋 | 因为部分人的言论让自己对其好感降低一大截 | LGBTQ | hate [END]
他 | 有黑点，应该被举报使其账号不能使用 | non-hate | non-hate [END]
韦小宝 | 都会被查 | non-hate | non-hate [END]
乙 | 被请求请甲去现场看《快乐大本营》 | non-hate | non-hate [END]
郭朒 | 关键没有 | non-hate | non-hate [END]
你 | 无明确负面评价 | non-hate | non-hate [END]
NULL | 很脏 | non-hate | non-hate [END]
非洲黑人 | 繁殖力强会挤爆非洲并到处扩张，人们要为其腾出空间，让其来中国改良种族等负面描述 | Racism | hate [END]
东北云南人 | 吃生猪皮 | Region | hate [END]
江西 | 双标 | Region | hate [END]
大男权主义分子 | 破防且拉黑我 | Sexism | hate [END]
闲得蛋疼的 | 大概率是猪精 | others | hate [END]
鬼母 | 初中没上过，牛逼吹得大，人类无法满足 | others | hate [END]
刃刃 | 恶心 | others | hate [SEP] 理客中 | 恶心 | others | hate [END]
小姨 | 凶狠地瞪着我 | non-hate | non-hate [SEP] 我 | 把手放在小姨胸上，可能会把表弟带坏 | non-hate | non-hate [SEP] 表弟 | 被担心被我带坏 | non-hate | non-hate [END]
牛头人 | 听说自己女朋友跟别人玩的花还很兴奋 | non-hate | non-hate [END]
以偏概全的言论者 | 刹比，说话没有逻辑，自说自话，自以为是，脑子没发育完全 | others | hate [SEP] 黑东北的人 | 脑子没发育完全 | Region | hate [SEP] 黑河南的人 | 脑子没发育完全 | Region | hate [END]
图一的人物 | 有点疯狂原始人的味道 | non-hate | non-hate [END]
圣母行为 | 反对 | others | hate [END]
NULL | 哪有什么负重前行，都是别人在替你岁月静好 | non-hate | non-hate [END]
女人 | 远离女人，越远越好 | Sexism | hate [END]
钼刃 | 没人要，在网上翻天覆地 | others | hate [END]
刘渊及其继任者 | 继任者骨子里改不掉 | non-hate | non-hate [END]
同性恋 | 没必要了解和欣赏同性恋 | LGBTQ | hate [END]
机器人 | 没什么价值，理它它就赢了 | non-hate | non-hate [END]
与性别相关群体 | 猪精，吃不到性别福利只能走这条路 | Sexism | hate [END]
NULL | 玩腻了相关的表述 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
它们 | 会有政策加分的，甚至和留学生同等待遇进985，进清华北大都有可能 | others | hate [END]
索玛女王、默 | NULL | non-hate | non-hate [END]
抱团、需要工会的人 | 未明确负面论点 | non-hate | non-hate [END]
你 | 选黑人都不选你，说明你比黑人还差 | Racism | hate [SEP] 黑人 | 在‘选黑人都不选你’表述中被用于贬低他人 | Racism | hate [END]
中国人 | 歧视 | Region | hate [END]
他们 | 嘲笑 | others | hate [SEP] 那些不嘲笑他们的人 | 嘲笑 | others | hate [END]
jatoo | 是多功能的 | non-hate | non-hate [END]
在彩礼吧中反对相关内容且被禁言的人 | 都被禁言了 | others | hate [END]
河南人 | 可以删除 | Region | hate [END]
你们异性恋女生 | 腐癌 | Sexism | hate [END]
男人 | 压在夸下摩擦了几千年，现在有的一点权力还是男人施舍的 | Sexism | hate [END]
上海的外来人口 | 地域歧视最严重，在大城市待久了没来由的优越感，接近财富自以为拥有财富，恶臭 | Region | hate [END]
被黑人搞过的（人） | 人傻媚外、性瘾大，不能要 | Racism | hate [END]
徐州的男的 | 输得一塌糊涂 | Region | hate [END]
NULL | 和我doi | non-hate | non-hate [END]
黑黄混血 | 恶心，不伦不类 | Racism | hate [END]
上海人，长三角人 | 被外来务工人员黑的严重 | Region | hate [SEP] 外来务工人员 | 黑上海人或长三角人 | Region | hate [END]
金庸大师 | 诚不我欺 | non-hate | non-hate [END]
教会 | 藏污纳垢 | others | hate [END]
南方人 | 被地狱狗蔑称 | Region | hate [END]
中国男人 | 都是中国男人的错，中国男人应该灭绝 | Sexism | hate [END]
抖音 | 是默默的重灾区 | non-hate | non-hate [END]
小鲜肉 | 反感，认为风气不好，缺少阳刚之气 | others | hate [SEP] 网红 | 反感，认为风气不好，缺少阳刚之气 | others | hate [SEP] 同性恋 | 反感，认为风气不好 | LGBTQ | hate [END]
这种人 | NULL | non-hate | non-hate [END]
你 | 觉得白叠就应该理所当然的在那 | Racism | hate [END]
男男的 | 天天颜文字 | Sexism | hate [END]
基佬 | 基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬 | LGBTQ | hate [END]
逻辑高手 | 随便打俩字就是悖论 | others | hate [END]
女的 | 那没事了 | Sexism | hate [END]
你 | 应该去放生吧 | non-hate | non-hate [END]
上海人 | 已经躺平了 | Region | hate [END]
一些缺乏地理概念的人 | 缺乏地理概念，有错误的地域认知 | non-hate | non-hate [END]
这两地方 | 有优越感那都是几十年前的事了 | non-hate | non-hate [END]
女权 | 成替身了 | non-hate | non-hate [END]
男男、黄女 | 七层是炼铜，剩下两层是猎奇 | LGBTQ | hate [END]
女人 | 越老越贬值，越老越不能生 | Sexism | hate [END]
昵称 | 有点东西 | non-hate | non-hate [END]
辱骂和攻击他人的人 | 没素质 | non-hate | non-hate [END]
上海(包括苏南浙北吴语区) | 喜欢排斥江淮地区，苏北和安徽中北部 | Region | hate [END]
所有的女人 | 比拉屎都容易，不应该痛 | Sexism | hate [END]
交往过黑人的女孩 | 不愿意娶 | Racism | hate [END]
你 | 懦弱又自我感动 | others | hate [END]
有黑人相关背景的人群 | 别留在国内，看着恶心 | Racism | hate [END]
你 | 像在化粪池里的蛆一样不干净 | non-hate | non-hate [END]
广东老太太 | 嗓门大，谁都不虚 | Region | hate [END]
二次元 | 沙軟 | others | hate [SEP] 微博 | 沙軟 | others | hate [END]
潮汕火锅 | 询问其什么味道 | non-hate | non-hate [END]
骗婚且人品有问题的人 | 骗婚且人品有问题 | others | hate [END]
广西 | 被黑得很惨 | non-hate | non-hate [END]
不分青红皂白胡乱打拳的人 | 不分青红皂白胡乱打拳、有很大戾气 | Sexism | hate [END]
他们 | 是被国女逼的 | Sexism | hate [END]
基佬 | 吓得删回复，对着自己咬，同类相食的怪物 | LGBTQ | hate [END]
混血儿 | 丑八怪的多了去了 | Racism | hate [END]
那女的 | 作态还非常低贱，太丢人了 | Sexism | hate [END]
找黑人的她们 | 结婚以后一定要和老公孩子待在非洲，别回来 | Racism | hate [END]
国人 | 挺能忍的 | Region | hate [SEP] 毛子 | 这要是毛子绝对打它 | Region | hate [END]
河南人 | 暗示遇到河南人可能碰到不好的事 | Region | hate [END]
杨笠 | 把大部分小仙女心声说了出来 | Sexism | hate [SEP] 小仙女 | 有杨笠说出了她们的心声 | Sexism | hate [END]
NULL | 只有本能，除了寄声就是寝犯 | others | hate [END]
NULL | 就是河南的 | non-hate | non-hate [END]
非洲黑人或者美洲黑人 | 他们使用的古龙水是迷香，用来奸淫中国女人，对女人特别有效 | Racism | hate [END]
你 | 是中国的不幸 | others | hate [END]
你 | 蒻痣 | non-hate | non-hate [END]
这种女人 | 不该被录用，会带坏公司的风气 | Sexism | hate [END]
公开的外人 | 评论是最公开公正的 | non-hate | non-hate [END]
北京人 | 对上海人有很复杂的情绪，所以春晚、电视剧有这样的表现很正常 | Region | hate [SEP] 上海人 | 被北京人有复杂情绪对待 | Region | hate [END]
警官 | 尽职尽责的人 | non-hate | non-hate [END]
由于文本中“凤毛麟角的人物”“99.99%的铌铬”指代不明确，无法确切判断其目标群体和是否仇恨等信息。假设“铌铬”是某种群体代称，推测四元组为：铌铬 | 不要用凤毛麟角的人物来代替他们 | non-hate | non-hate [END] 
有些人 | 玩游戏捏黑人让人不明白 | Racism | hate [END]
她 | 得不介绍她的社会关系 | non-hate | non-hate [END]
山东人 | 不爱出门打工 | non-hate | non-hate [SEP] 陕西人 | 不爱出门打工 | non-hate | non-hate [END]
亲子鉴定、验孕棒 | 以后应跟验孕棒一样普及 | non-hate | non-hate [END]
台湾 | 不光该骂，简直是该打 | Region | hate [END]
黑人 | 被讨论是不是灵长类 | Racism | hate [END]
武侠文化盛行时期的现象 | 全是龟男道德观 | others | hate [END]
有一部分南方人 | 分不清北方口音 | non-hate | non-hate [END]
输出 | 要保护 | non-hate | non-hate [END]
我 | 每天都在关注都看 | non-hate | non-hate [END]
兄弟 | 辛苦了 | non-hate | non-hate [END]
同性恋群体 | 很巧妙地在讨论和争执中伪装成受害者形象，对不支持他们的人扣帽子口诛笔伐，借与主流不符的特性在未成年人群体中宣扬以壮大自身队伍 | LGBTQ | hate [END]
既得利益者 | 行为可笑，占据利益 | others | hate [END]
中国女拳友 | 脑子不好使 | Sexism | hate [END]
河南朋友 | 都挺好的 | non-hate | non-hate [END]
他 | 在背后阴阳怪气说我们 | non-hate | non-hate [END]
这种手术 | 正规大医院一般不做 | non-hate | non-hate [END]
男女平等 | 不支持男女平等，认为其极端、不现实 | Sexism | hate [END]
你 | 帮嘿嘿打工 | non-hate | non-hate [END]
感冒患者 | 不应该被歧视 | non-hate | non-hate [END]
你 | 不控制自己，还怕别人传病 | non-hate | non-hate [END]
基佬 | 被骂 | LGBTQ | hate [END]
河南人 | 河南人被黑肯定是有原因的 | Region | hate [END]
包邮区农村的小伙及他们村和附近几个村的人 | 歧视一切外地人 | Region | hate [END]
黑山东的人 | 天天给我推 | Region | hate [END]
外地人 | 魔鬼魔鬼怪到处是 | Region | hate [END]
妖 | 尽灭 | others | hate [END]
安徽媳妇 | 背地里要被冷嘲热讽死 | Region | hate [END]
你 | 三观真的有毒 | non-hate | non-hate [END]
去非洲的人 | 根本就回不来 | Region | hate [END]
中国男人 | 媚外世界第一 | Sexism | hate [SEP] 国女 | 世界第一优秀、被权威组织点名媚外的头一份、继续打拳 | Sexism | hate [END]
NULL | 杂交的不如纯种的好，还会弄出很多奇怪的病，智商还会迭代变低 | Racism | hate [END]
黑杂 | 黑杂 | Racism | hate [END]
妹子 | 有钱哪里的妹子都喜欢你 | non-hate | non-hate [END]
塔利班 | 有飞机大炮 | non-hate | non-hate [END]
信女 | 傻傻劣劣 | others | hate [END]
黑人 | 歧视 | Racism | hate [END]
和老外有过交往的人 | 从心里嫌弃，绝大部分都是倒贴，真爱少之又少 | Racism | hate [END]
NULL | 为什么不找外星优质男人呢，人家有太空战舰呢 | non-hate | non-hate [END]
发表主观憎恨言论且无知的人 | 无知、举极端片面例子、发表主观憎恨言论，别人问候其父母合理 | others | hate [END]
你 | 建议发孙吧，那里老哥骂得好听 | non-hate | non-hate [END]
你 | 早点蛆丝 | non-hate | non-hate [END]
交往的黑人 | 绝不接受 | Racism | hate [END]
你 | 高贵的殖蝻 | Sexism | hate [END]
黑人、白人等异族 | 不喜欢、排斥黑人和白人等异族，认为这是正常排外 | Racism | hate [END]
男权主义者 | 让人讨厌，男权主义太重 | Sexism | hate [END]
东北人 | 不符合外边对东北人的认知 | non-hate | non-hate [END]
小氙钕 | 支持 | non-hate | non-hate [END]
你 | 真会抬杠 | non-hate | non-hate [END]
你 | 好欺负 | Sexism | hate [END]
你 | 把广东放在什么地方了 | non-hate | non-hate [END]
富人 | 那么舔 | others | hate [END]
车、房、彩礼 | 应该一视同仁，不想被一棍子打死 | non-hate | non-hate [END]
魔怔人 | 不准出现在我帖子里 | others | hate [END]
学伴 | 是慰安妇 | others | hate [END]
他 | 胡说八道，挑拨离间 | non-hate | non-hate [END]
txl | 必死 | LGBTQ | hate [END]
“粉丝” | 可以取消 | non-hate | non-hate [END]
