飞周兄弟 | 还不认亲？ | Region | hate [END]
非洲黑人 | 智商70 | Racism | hate [SEP] 美国黑人混血儿 | 智商85 | Racism | hate [SEP] 中非混血儿 | 妥妥的班里倒数 | Racism | hate [END]
女 | 在这里性别是女就是错误 | Sexism | hate [END]
直男 | 更胜一筹 | non-hate | non-hate [END]
同性恋 | 不正常可以变成正常的异性恋 | LGBTQ | hate [SEP] 反同 | 存在即合理 | LGBTQ | hate [END]
女方 | 嫌办的寒颤女方咋不出钱办的好点捏? | Sexism | hate [END]
女拳 | 不是仇女壮大出来的，而是平权放任出来的 | Sexism | hate [END]
我 | 纯洁可爱 | non-hate | non-hate [END]
这b | 不是好人 | non-hate | non-hate [END]
南满 | 黑河南、黑北方的 | Region | hate [END]
阿拉伯人 |  earliest capture and trade of black slaves | Racism | hate [END]
女拳 | 不都喜欢冒充男的说话吗😆 | Sexism | hate [END]
男性 | 出轨不是个例 | non-hate | non-hate [END]
女拳 | 自私的逐利者 | Sexism | hate [END]
慕洋舔狗 | 站起来 | Sexism | hate [END]
NULL | 今时不同往日 | non-hate | non-hate [END]
国内女⭕️ | 群嘲国男 | Sexism | hate [END]
有人 | 管挺好的 | non-hate | non-hate [SEP] 没人管 | 就变成透明人了 | non-hate | non-hate [END]
心脏不好的 | 都来我这接种预防针 | non-hate | non-hate [END]
你举报 | 要有用才怪了 | non-hate | non-hate [END]
带孩子的女的 | 不叫女孩，就叫女的 | Sexism | hate [END]
贵州 | 也没话讲 | non-hate | non-hate [END]
留学生 | 花大价钱留所谓的留学生 | Region | hate [SEP] 国内的 | 却不舍得给国内的更好点待遇 | Region | hate [END]
其他大多数省 | 给我国拖后腿 | Region | hate [END]
互喷 | 最好的抵制方法 | non-hate | non-hate [END]
孩（串）子（串） | 不能带走 | non-hate | non-hate [END]
桑嗨仁 | 歧视外地人 | Region | hate [END]
让t们 | 风况捏参考棒子锅 | Sexism | hate [END]
他们 | 东北人 | non-hate | non-hate [END]
我 | 也经常被喷 | non-hate | non-hate [END]
这个女的 | 和中国老公离婚了，带着孩子找了个印度同事 | non-hate | non-hate [END]
女孩子 | 不能急 | non-hate | non-hate [END]
你 | 血和屈辱你只能二选一 | non-hate | non-hate [END]
那些女人 | 真是勇敢，生怕得不上病😆 | Sexism, Racism | hate [END]
默 | 我真的很讨厌 | Racism | hate [END]
你 | 把国外贬低中国女性的水文当成圣经 | Sexism | hate [END]
答主 | 万一答主是美国人？😆😆 | non-hate | non-hate [END]
默 | 去非洲服务默那更是物尽其用 | Racism | hate [SEP] 吴母沟 | 畏怕吴母沟出去整个容改个名 | Sexism, Racism | hate [SEP] 国男 | 祸害国男 | Sexism | hate [END]
拳师 | 天生就是坏种 | Sexism | hate [END]
武汉 | 小偷比武汉少 (具体地名) | Region | hate [END]
巴基斯坦 | 别怕啊嫁去巴基斯坦啊 | Sexism, Region | hate [END]
男人 | 被压男人让男人沦为舔狗更好为她们服务 | Sexism | hate [END]
山东 | 一旦被黑就是两性问题😅 | Region | hate [END]
留在河南的古汉人 | 才是最多的 | non-hate | non-hate [SEP] 去南方的 | 被同化了 | non-hate | non-hate [END]
他 | 去超市偷东西 | non-hate | non-hate [END]
舞蹈区和各大直播平台那些女人 | 物化女性 | Sexism | hate [END]
集美们 | 拿刀真的有用😅 | Sexism | hate [END]
同性恋 | 做同性恋是病才要上药 | LGBTQ | hate [END]
黑沙口 | 把他赶到森林里 | Racism | hate [END]
EVAHERMAN | 看起来很年轻 | non-hate | non-hate [SEP] 玻尿酸微整形 | 很管用 | non-hate | non-hate [END]
广西人 | 有东南亚爪哇矮黑人特征 | Region | hate [SEP] 东南亚人 | 不喜欢 | Region | hate [END]
东亚女权 | 一丘之貉 | Sexism | hate [END]
聪明人 | 比例太少了 | non-hate | non-hate [END]
他们 | 有立体防御机制 | non-hate | non-hate [SEP] 这样的 | 也会被说成txl捏 | LGBTQ | hate [END]
长得丑 | 活该被变态骚扰 | non-hate | non-hate [END]
她们 | 被利用前利用 | Sexism | hate [END]
跟小黑交往的女生 | 怎么证明那些跟小黑交往的女生是我们985的？ | Sexism, Racism | hate [END]
抠脚大汉 | 别装了 | non-hate | non-hate [END]
含有种族歧视的崇洋媚外的 | 让人唾弃 | Racism | hate [END]
安徽人 | 在你们江浙沪的人眼中，安徽的不是挖煤的就是要饭的，剩下的都是黑社会 | Region | hate [END]
你 | 两头开枪 | non-hate | non-hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | hate [END]
easy girl | 骗我接盘 | Sexism | hate [SEP] 这个婊子 | 让我发现不会放过 | Sexism | hate [END]
男人 | 男人的命也是命！ | non-hate | non-hate [END]
黑龙江人 | 概率不高 | non-hate | non-hate [END]
她 | 分月付款，生完滚蛋，给别人生去 | Sexism | hate [END]
东北红脖子 | 认为东北最好，目空一切 | Region | hate [SEP] 东北奸 | 认为东北最差，南方是爹 | Region | hate [END]
前列腺 | 还好吗？ | non-hate | non-hate [END]
黑人 | 劳动力 | Racism | hate [SEP] 黑人 | 能主动依靠劳动获取报酬么？ | Racism | hate [SEP] 黑人 | 和他们的副产品打着“反对种族歧”的旗号惹事 | Racism | hate [END]
女拳 | 怎么搞的跟什么一样 | Sexism | hate [END]
网上打拳的 | 男的有钱挣 | Sexism | hate [END]
广东人和广西人 | 丑人多 | Region | hate [SEP] 四川，东北 | 平均颜值高广东几个档次 | Region | hate [END]
你 | 不防不行，防了也不能全身而退 | non-hate | non-hate [END]
东方卫视 | 女拳卫士 | Sexism | hate [END]
丰县 | 丢尽了江苏的脸 | Region | hate [SEP] 丰县 | 是苏北的不？ | Region | hate [END]
媚黑女 | 确实大部分女生根本看不上黑人 | Sexism, Racism | hate [END]
她们 | 这样的思想是现在这个时代的思想 | non-hate | non-hate [END]
安徽人 | 大多数在网上太老实了，甚至弱势 | non-hate | non-hate [END]
女拳 | 拜女拳的服 | Sexism | hate [END]
皮套人 | 还真的有粉丝？ | non-hate | non-hate [END]
NULL | 图个器大活好吧 | Sexism | hate [END]
昆仑奴 | 收翻逆袭咯？ | Racism | hate [END]
你们这些从心理到生理都变态点玩意儿 | 变态 | others | hate [END]
男人 | 武力已经被削得越来越弱了 | non-hate | non-hate [END]
安徽 | 主要是在上海被歧视 | Region | hate [END]
NULL | 不结婚就完事了 | non-hate | non-hate [SEP] 有人 | 非的要遵守什么祖宗留下来的传宗接代 | non-hate | non-hate [END]
北方人上人 | 认为南方人是野蛮人 | Region | hate [SEP] 北方人上人 | 跑来野蛮之地给野蛮人打工 | Region | hate [END]
苏北 | 最穷的地方能吊打中国的大部分城市 | Region | hate [END]
豆瓣知乎 | 给男性用的 | non-hate | non-hate [END]
NULL | 嫁黑人就去非洲 | Sexism, Racism | hate [END]
嘿嘿 | 思想 | Sexism | hate [END]
我们的学校 | 现在变成了妓院 | non-hate | non-hate [END]
亩人 | 需要被尊重？ | non-hate | non-hate [END]
有人 | 爱吃煤 | non-hate | non-hate [END]
黑人 | 反观黑人..... | Racism | hate [END]
同性恋 | 别举报 | LGBTQ | hate [END]
小仙女 | 爆杀 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | non-hate | non-hate [END]
知乎很多东北人 | 挑起南北对立 | Region | hate [SEP] 不夸东北（黑龙江）的 | 南大人，就是南方系媒体 | Region | hate [END]
男的 | 下面就不会这么祥和了，得被骂得满脸血 | Sexism | hate [END]
哈尔滨男人 | 好惨 | non-hate | non-hate [END]
中国原住民 | 被大猩猩不当命 | Racism | hate [END]
美国 | 太乱了 | non-hate | non-hate [END]
你老公 | 可能会离婚 | non-hate | non-hate [END]
吴签 | 没有宁波黑人高端 | Region, Racism | hate [END]
东夷 | 和剩下三个多少还是有差别 | non-hate | non-hate [END]
你 | 走路漏屎吗 | non-hate | non-hate [END]
男的 | 知道不是全部女生都会找黑人 | non-hate | non-hate [END]
你这个** | 还想当吧主 | non-hate | non-hate [END]
你 | 去非洲跟黑人去说理性去 | Racism | hate [END]
江苏 | 地域黑十斗 | Region | hate [SEP] 江苏人 | 独占八斗 | Region | hate [END]
小红书上面的女的 | 基本一个比一个丑 | Sexism | hate [END]
你他们 | 如果他们没有强大的宣传机器，你再看看风评 | non-hate | non-hate [END]
恨国党 | 故意搞分裂 | non-hate | non-hate [END]
女权 | 打压男性 | Sexism | hate [SEP] 外国的女权 | 更霸道 | Sexism | hate [END]
黑人小孩 | 被批判 | Racism | hate [END]
我发布的文章 | 说我带有歧视 | non-hate | non-hate [END]
温州 | 骗子最多的城市 | Region | hate [END]
川渝 | 很歧视北方，也是带节奏带最狠的 | Region | hate [END]
大病 | 人传人 | non-hate | non-hate [END]
黑非洲 | 又替黑非洲来抢劫埃及文明啦 | Region | hate [SEP] 北非文明与黑非洲 | 不是一个体系 | Region | hate [END]
黑贵人 | 用定时化学武器消灭黑贵人，不留一丝痕迹 | Racism | hate [END]
txl | 变态 | LGBTQ | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
害你的那个人 | 活不了几年 | non-hate | non-hate [END]
尼 | 千万不可以精尼 | Racism | hate [END]
小仙女 | 舍得酒 | Sexism | hate [END]
前男友 | 黑人 | Sexism, Racism | hate [SEP] 能接受的 | 都是有绿帽癖的男人 | Sexism | hate [END]
傻B女⭕️ | 刷个抖音都有 | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和磕药的大户 | Racism | hate [END]
地域黑喷子 | 天天黑人 | Region | hate [END]
找泥搁的女人 | 智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄 | Sexism | hate [SEP] 有人 | 爱接盘😄 | Sexism | hate [END]
我 | 不是男同 | non-hate | non-hate [END]
黑人 | 专门勾搭中国妇女 | Sexism, Racism | hate [END]
直男扳弯 | 和所谓矫正同性恋一样，都不过是城乡故事 | LGBTQ | hate [END]
广东人 | 这些坏事都是广东人干的！ | Region | hate [END]
幕刃 | 真的该死 | Sexism | hate [END]
女人 | 真的没脑子 | Sexism | hate [END]
卡菲勒 | 同性恋 | LGBTQ | hate [END]
你 | 发这些什么目的 | non-hate | non-hate [END]
变态基佬 | 提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的 | Region | hate [END]
他 | 很伟大的科学家 | non-hate | non-hate [SEP] 又同又飞舞的 | 该骂的是 | LGBTQ | hate [END]
河南新疆回族人 | 就真的没有一点办法了 | Region | hate [SEP] 3头 | 不是人 | others | hate [END]
黑人 | 好色 | Racism | hate [SEP] 黑人 | 智商很低 | Racism | hate [END]
大小号 | 拉黑我了 | non-hate | non-hate [END]
性别焦虑问题的通讯录 | 如何薄纱有性别焦虑问题的通讯录？ | LGBTQ | hate [END]
你 | 完全同意 | non-hate | non-hate [END]
这男的父母 | 见到我这老师会被打死 | non-hate | non-hate [END]
这个故事 | 告诉我们，没有被全国黑过的地方，不是太穷，就是太怂 | Region | hate [END]
这个尼 | 从出生到现在都没洗过头吧！ | Sexism | hate [END]
艾滋病携带者 | 自己都不知道 | non-hate | non-hate [END]
黑乐色 | 一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术 | Sexism | hate [END]
你 | 听说你是疯狗？ | non-hate | non-hate [END]
你 | 绝对不是他说的那种要一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 心地善良 | non-hate | non-hate [END]
女性地位 | 能提高的的确确是好的趋势 | non-hate | non-hate [END]
女拳师 | 经费没覆盖？ | Sexism | hate [END]
北京 | 外地逼 | Region | hate [SEP] 上海 | 乡下人 | Region | hate [END]
能在知乎上搞地域歧视的人 | 现实生活中大概率也成不了啥事 | non-hate | non-hate [END]
你们这种人 | 跑得出去 | non-hate | non-hate [END]
西南地区及东北地区 | 一群南蛮搞的鬼 | Region | hate [END]
女方 | 不扯结婚证啥事儿没有，再BB直接赶出门 | Sexism | hate [END]
黑蛆 | 是不是“人” | Racism | hate [END]
NULL | 居然没有一个拳师冲 | Sexism | hate [END]
狐臭 | 估计在中国他的味道肯定会很受欢迎吧 | Racism | hate [END]
西藏和青海的网友 | 上网那么久就没见过 | non-hate | non-hate [END]
度度 | 拿不出证据的话能不能给我道歉啊 | non-hate | non-hate [END]
这一类人 | 种花家的不幸 | others | hate [END]
同性恋 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
黑 | 轮着黑 | Racism | hate [END]
你这老僵尸 | 要被举报了 | non-hate | non-hate [SEP] 男男 | 违法献血 | LGBTQ | hate [END]
你 | 差与猩猩终成眷属了！? | Racism | hate [END]
你 | 一定不会是反串 | non-hate | non-hate [END]
恩施的卷子 | 确定不是黄冈的卷子吗 | non-hate | non-hate [SEP] 湖北 | 一主两副 | non-hate | non-hate [SEP] 宜昌襄阳 | 中部地级市里排名前三 | non-hate | non-hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上海 | 淹死上海人❤️ | Region | hate [END]
阳光彩虹小黑马 | 摘完棉花吃西瓜 | non-hate | non-hate [END]
华人 | 被掠杀 | Racism | hate [SEP] 美国 | 歧华 | Racism | hate [SEP] 中国人 | 低人一等 | Racism | hate [END]
民族 | 自信不够 | non-hate | non-hate [END]
中国人 | 不够多 | non-hate | non-hate [END]
毛妹 | 比老黑那还厉害👍 | Sexism, Racism | hate [SEP] 有些瘾大的女人 | 找猩猩其实就是为了找刺激 | Sexism, Racism | hate [SEP] 猩猩 | 只要她们知道有代替方法她们也不会冒艾滋风险和臭气找猩猩 | Sexism, Racism, others | hate [END]
你 | 不就是自己玩游戏玩的不好，还骂别人吗？ | non-hate | non-hate [END]
安徽人 | 不坏 | non-hate | non-hate [END]
大家 | 欢迎一起讨论 | non-hate | non-hate [END]
猴痘 | 目前认为是体液传播 | non-hate | non-hate [END]
你 | 黑猩猩 | Racism | hate [END]
狗比贱货 | 咋不打死 | Sexism | hate [END]
南满 | 不是人 | Region | hate [END]
宁波工程外教 | 老好人 | non-hate | non-hate [END]
抖音上那群老板 | 霍霍非洲世界小姐们 | Sexism, Racism | hate [END]
女性 | 追求更大的权利地位，而不想承担责任 | Sexism | hate [END]
lkd | 应该在随机带走几个lkd | Sexism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [SEP] 吃狗肉 | 支持 | others | hate [END]
黑人 | 会不会是非洲国家乌干达的？ | non-hate | non-hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
反自己民族主义的 | 厉害厉害 | non-hate | non-hate [END]
黑人 | 能有什么好事情？ | Racism | hate [END]
国女 | 私信炸了 | Sexism | hate [END]
狐臭 | 闻见狐臭会生理反应，心口刺痛 | non-hate | non-hate [END]
你 | 独立的个人 | non-hate | non-hate [SEP] 你 | 应当拥有自由 | non-hate | non-hate [END]
黑人 | 心理膈应 | Racism | hate [END]
现代女生 | 接受教育 | non-hate | non-hate [SEP] 你 | 思想留在三从四德时期 | non-hate | non-hate [END]
女的 | 哪个不是这样啊 | non-hate | non-hate [END]
他 | 对妻子不负责任 | non-hate | non-hate [END]
和印度人结婚的女的 | 以前的圈子里慢慢就没有她了，后来华人圈子里也没有她了 | non-hate | non-hate [END]
中国 | 去喜欢中国的地方留学 | non-hate | non-hate [END]
非洲 | 别留在中国祸害人 | Region | hate [END]
女生 | 不适合学理工科 | Sexism | hate [END]
zzzq | 都魔怔了 | non-hate | non-hate [END]
我们蝈腩😆 | 谦虚点 | Sexism | hate [END]
它们 | 穷是他们自己懒惰 | Region | hate [SEP] 非洲 | 把非洲给我华人早就打造成一个大国了 | Region | hate [END]
这个女人 | 没死 | non-hate | non-hate [END]
玉米 | 黄油变成炳蔚通知书 | LGBTQ | hate [SEP] 艾 | 落在头上是写着艾的，还砸出血了 | LGBTQ | hate [END]
南方人 | 怎么骂东北人 | Region | hate [END]
河南 | 可能会有偷盗的行为 | Region | hate [SEP] 河南人 | 不要以为河南人都那个样😅 | Region | hate [END]
女 | 开除女籍 | Sexism | hate [END]
陕北 | 有钱 | Region | hate [END]
某些山驴b | 喜欢拉黑本大爹 | Racism | hate [END]
我 | 伤心自己的同胞走上了这样一条路 | non-hate | non-hate [SEP] 我 | 觉得自己对每一个同胞都是有责任的 | non-hate | non-hate [SEP] 她们 | 自甘堕落带给我的只有怒其不争的悲伤 | non-hate | non-hate [END]
黑蛆清楚计划 | 早日实施 | Racism | hate [END]
网络地域黑 | 穷是原罪? | non-hate | non-hate [END]
繁殖的性需求 | 推动人类社会发展的重要动力 | non-hate | non-hate [END]
黄种人 | 不care | non-hate | non-hate [END]
黑人 | 土人的一种？ | non-hate | non-hate [END]
几个视频 | 都看过 | non-hate | non-hate [END]
eg | 名头是老外安上去 | Racism | hate [END]
这种女的 | 不就是典型的玩的浪不顾家？ | Sexism | hate [END]
男的 | 会有玩玩黑人里的美女的想法 | Sexism, Racism | hate [SEP] 黑人女的 | 应该没有几个会娶黑人女的😅 | Sexism, Racism | hate [END]
知乎同性恋标签第一的帖子 | 一群恶心人的在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 不好事件就概率性多 | non-hate | non-hate [END]
ezg | 我们也没办法 | Sexism | hate [SEP] ezg | 祈求以后不会娶到和动物玩过的ezg | Sexism | hate [END]
西方 | 为了用身份政治来控制人民，以保证自己的剥削能够继续 | Region, others | hate [SEP] 过街老鼠 | 把一群过街老鼠的怪癖放上大庭广众之下 | others | hate [END]
外国人 | 嫁给外国人就不是中华民族了 | non-hate | non-hate [END]
她们 | 喜欢拳 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Sexism, Racism | hate [END]
你 | 贵物 | non-hate | non-hate [END]
南昌市 | 天下英雄城 | non-hate | non-hate [END]
达雷尔·布鲁克斯 | 被定罪的性犯罪者 | non-hate | non-hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | hate [END]
你的评论 | 会伤害到别人 | non-hate | non-hate [END]
深柜 | 竟在反同身边 | LGBTQ | hate [END]
年度格斗场 | 哈哈年度格斗场了属于是哈哈哈 | non-hate | non-hate [END]
txl | 还是不要自欺欺人了 | LGBTQ | hate [END]
上海人 | 会被其他人举报说这两个人在偷偷骂他 | Region | hate [END]
艾滋病 | 好好治也能活很久的 | non-hate | non-hate [END]
安徽 | 没啥存在感 | non-hate | non-hate [END]
这个主 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | Racism | hate [END]
黑人 | 又发黑人丑照 | Racism | hate [END]
基佬 | 艾滋 | LGBTQ, others | hate [END]
女拳 | 针对女拳而已 | Sexism | hate [END]
她 | 中资企业还雇佣她吧 | non-hate | non-hate [END]
回族 | 有什么问题？ | non-hate | non-hate [END]
男人 | 脑子不太聪明分不清sao货和良女 | Sexism | hate [END]
米国的事 | 各位就别管了 | non-hate | non-hate [END]
內個虛空法師 | 猪精 | non-hate | non-hate [END]
处女膜 | 流血 | non-hate | non-hate [END]
南方 | 为何你觉得南方比北方穷 | non-hate | non-hate [END]
同 | 撑同 | LGBTQ | hate [END]
河南人 | 出了事全算河南人头上 | Region | hate [END]
基狫 | 把基狫打出血了 | LGBTQ | hate [END]
性别比例 | 不平衡 | non-hate | non-hate [END]
娶黑人的 | 也会被骂 | Sexism, Racism | hate [END]
小红书资深用户 | 刷到的都是美妆，穿搭，腹肌小哥哥，还有一堆妆改容貌焦虑的 | Sexism | hate [END]
河南人 | 快被黑成贬义词了 | Region | hate [END]
nc女人 | 淘汰 | Sexism | hate [END]
地域黑 | 明明视频里的人的口音就不是河南的，新闻标题非要扣到河南头上😭 | Region | hate [END]
中国女人 | 大家不信中国女人了 | Sexism | hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
情商 | 太低 | non-hate | non-hate [END]
评论区 | 谁破防了 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 大开眼界 | Region | hate [SEP] 黑人 | 用女方结婚照作黄网头像，各种羞辱 | Racism | hate [END]
你 | 让我看看你长啥样 | non-hate | non-hate [END]
你 | 活在这个世界上的唯一理由就是拿这些个个例中的个例还有一些我估计你都不知道什么意思的所谓哲学家说过的话告诉我们女性对世界贡献更大 | Sexism | hate [END]
人家 | 带着任务赚流量的🤣 | non-hate | non-hate [END]
同性恋的支持者 | 一群NT在官配CP或后宫番里面刷男男或女女CP | LGBTQ | hate [END]
你 | 读书读糊涂了 | non-hate | non-hate [END]
以前的工作 | 大都是体力活，干净不了 | non-hate | non-hate [END]
姐姐 | 你的圈子有点小 | non-hate | non-hate [END]
黑哥 | 常规操作了 | Racism | hate [END]
我 | 不懂什么是踩评论 | non-hate | non-hate [END]
她们 | 自低自贱 | Sexism, Racism | hate [SEP] 混血 | 艾滋病变多 | Racism, others | hate [SEP] 黑串串 | 入汉族的黑串串已经很多了 | Racism | hate [END]
河南人 | 还不错 | non-hate | non-hate [END]
吧里有些老哥 | 看不到所谓主要矛盾 | non-hate | non-hate [END]
这些女的 | 喜欢留学生也就罢了 | Sexism | hate [SEP] 这些女的 | 实际上大部分最后浪完回头找国内的 | Sexism | hate [END]
琪贵人 | 发誓的时候你想掐死她吗？ | Sexism | hate [END]
台资 | “声名远扬” | Region | hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 怪那些老外 | Racism | hate [END]
黑人 | 到现在还有原始社会 | Racism | hate [END]
猩动保人士 | 爱猩 | non-hate | non-hate [END]
对面 | 搞不好也就15年 | non-hate | non-hate [END]
街留子 | 要这玩意，要了马上就降两档次 | Sexism | hate [END]
我同学 | 说了两分钟我一东北人根本听不懂 | non-hate | non-hate [END]
嘿枸 | 低劣程度的气息 | Racism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
它 | 抽它一耳光！ | non-hate | non-hate [END]
重庆 | 反同 | LGBTQ, Region | hate [END]
同性恋 | 弄死他们 | LGBTQ | hate [SEP] 你 | 这种以强凌弱的 | others | hate [END]
基佬 | 真不是一般的恶心 | LGBTQ | hate [END]
txl | 去死 | LGBTQ | hate [END]
果子狸 | 前几年很嚣张举报都没用 | non-hate | non-hate [END]
国男 | 性获取难度 | Sexism | hate [END]
他们 | 我们内地就先被他们黑得很惨啊 | Region | hate [END]
女拳 | 虚伪的大男权主义分子 | Sexism | hate [END]
彩礼 | 违法 | non-hate | non-hate [END]
喵神 | 高 | non-hate | non-hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
哥布林 | 不出现在人类面前的哥布林才是好哥布林 | Racism | hate [END]
我雀氏 | 自卑 | Region | hate [END]
杨圣母 | 出来恶心全体男性的时候怎么看不到它站出来 | Sexism | hate [END]
中国 | 配不上你 | Region | hate [SEP] 中国 | 还是纯黄种人为好 | Region | hate [END]
你们男的 | 不要碰女的我看到你们就恶心！ | Sexism | hate [END]
国内的接盘侠 | 感染艾滋病 | Sexism, others | hate [SEP] 来路不明的女的 | 一定要搞清楚来历 | Sexism, others | hate [END]
黑人 | 你去读黑人人种研究的书吧 | Racism | hate [END]
easy girl | 这也比国男好得多 | Sexism | hate [END]
答主 | 反感还不让说了？ | non-hate | non-hate [END]
畒 | 破防啦 | Sexism | hate [END]
河南人 | 不招河南人 | Region | hate [END]
内卷 | 有底线 | non-hate | non-hate [END]
昔日的反同小将 | 战淋 | LGBTQ | hate [END]
b乎 | 人均985 | Sexism | hate [END]
东北人 | 讨厌 | Region | hate [END]
人形畜狌 | 寄声就是寝犯种群铁律亘古不变真理只在射程之内 | Racism | hate [END]
四川各大高校 | 根本不是 | non-hate | non-hate [END]
贴吧系统 | 多发几次就行了 | non-hate | non-hate [END]
中国男人 | 还是那样的中国男人 | non-hate | non-hate [SEP] 中国女人 | 已经不是那样的中国女人了 | non-hate | non-hate [END]
唐朝前期的公主外嫁和后面的五胡乱华 | 很大关系 | non-hate | non-hate [END]
魔方 | 基因？一听就不靠谱😆 | Racism | hate [END]
通讯录 | 出瑰的几乎为零 | non-hate | non-hate [END]
这个 | 友军 | non-hate | non-hate [END]
宁 | 比得上人家吗 | Region | hate [END]
你 | 真把自己当回事了 | non-hate | non-hate [END]
这几个博主 | 到冯丽微博下留言加辱骂河南人 | Region | hate [END]
这女的 | 精神类疾病 | non-hate | non-hate [END]
gay | 臭gay | LGBTQ | hate [END]
重男轻女 | 存在 | non-hate | non-hate [END]
鼻涕虫交配 | 恶心 | Racism | hate [SEP] 鼻涕虫交配 | 纯洁美好 | Racism | hate [END]
easy girl | 崇媚洋外中国好像很普遍 | Sexism, Racism | hate [SEP] 某些大学 | 一年十几万几十万请连汉字都不认识多少的“高材生”？ | Sexism, Racism | hate [END]
有一个穿衣服的猩猩 | 完全是掩盖其兽性，转移目标 | Racism | hate [END]
你这种烂鲍鱼 | 一般被人叫做普信女⁉ | Sexism | hate [END]
欧洲小国 | 对中国人印象不错 | non-hate | non-hate [END]
基佬 | 炼铜 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
这种垃圾 | 想害更多人 | others | hate [END]
这样的男女 | 跟黑人出国 | Sexism, Racism | hate [END]
两广 | 被黑了 | Region | hate [SEP] 河南 | 玩梗 | Region | hate [END]
普信男 | 提出，必会带出普信女 | non-hate | non-hate [END]
同性恋 | 基因“本能”厌恶 | LGBTQ | hate [END]
主页 | 和不同的白楠yy | Sexism, Racism | hate [SEP] 你 | lkd | Sexism, Racism | hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 据说好像还原谅了她 | non-hate | non-hate [END]
微博 | 能是什么好地方 | non-hate | non-hate [END]
我 | 发了一篇贵物男拳帖被删了 | non-hate | non-hate [END]
舔狗约炮 | 都必须体验分娩 | Sexism | hate [END]
狗狗 | YD长在了猩猩身上 | Racism | hate [END]
拳师 | 高级妆 | Sexism | hate [END]
浙江 | 气候而言。并不宜居 | non-hate | non-hate [END]
东北河南 | 一家亲 | non-hate | non-hate [END]
三非黑人 | 该驱逐驱逐 | Racism | hate [END]
这种 | 为牢房准备的犯人 | non-hate | non-hate [END]
txl | 我在这里骂txl没码 | LGBTQ | hate [END]
你 | 口味有点重 | non-hate | non-hate [END]
你 | 还我们滦河水！😠 | Region | hate [END]
我 | 咋没看到反串差评 | non-hate | non-hate [END]
基佬 | 它们在现实生活中活得太憋屈了 | LGBTQ | hate [SEP] 基佬 | 它们之所以把别人先禁言了又去麻人 | LGBTQ | hate [END]
第二个 | 母吠删我评 | Sexism | hate [END]
你们同性恋 | 饥不择食 | LGBTQ | hate [END]
好看的靴子 | 都是为女人设计的 | Sexism | hate [SEP] 男靴 | 远远不如女靴，穿的人也太少 | Sexism | hate [END]
美国 | 在美国做乞丐 | Region | hate [SEP] 中国山东大学 | 不得飞黄腾达 | Region | hate [END]
东北 | 被黑的最惨的 | Region | hate [SEP] 东北人 | 更受南方妹子欢迎 | non-hate | non-hate [SEP] 南方人 | 不受妹子待见 | Region | hate [END]
男同 | 雀食男同恶心 | LGBTQ | hate [END]
这玩意 | 谁把这玩意从笼子里面放出来的 | non-hate | non-hate [END]
江西和苏北 | 八竿子打不着 | non-hate | non-hate [END]
好人 | 就该被枪指着 | non-hate | non-hate [SEP] 骗人 | 不管被骗的有罪✌️ | non-hate | non-hate [END]
黑人女性 | 中国男人会跟黑人女性交往吗… | Sexism, Racism | hate [END]
800的小姐 | 能提非常高的情绪价值 | Sexism | hate [END]
硅南 | 能不能死一死？ | Sexism | hate [END]
别人 | 先停止对别人的歧视 | non-hate | non-hate [END]
嘿枸 | 涤清圣土桖洗嘿枸 | Racism | hate [END]
江浙 | 地域黑最多 | Region | hate [SEP] 黑子 | 自己生活不如意，只能靠自己的户籍进行地域黑来凸现优越感 | Region | hate [SEP] 江浙 | 素质低下 | Region | hate [END]
广东人 | 以为攻击广西自己就不东南亚了？ | Region | hate [END]
理中派 | 最可恶 | others | hate [END]
安徽 | 被黑很惨 | non-hate | non-hate [END]
